Cat No    Artist                               Title                                       Format        | Apollo status
MR-095    Hai Karate                           Hai Karate                                  CD            | no artist
MR-096    Fang                                 Electric Chair                              7"            | 
MR-097    The Heads                            The Time Is Now                             CD            | no
MR-098    Various Artists                      500 Miles to Glory Compilation              CD            | no
MR-099    Entombed                             Black Juju                                  10"           | see MR-119
MR-100    MISSING                              ---                                         ---           | ---
MR-101    Natas                                Delmar                                      CD            | no artist :(
MR-102    Alabama Thunderpussy                 Rise Again                                  CD            | https://apollo.rip/torrents.php?id=64830
MR-103    Greenmachine                         D.A.M.N.                                    CD            | no
MR-104    Acid King                            Busse Woods                                 CD            | https://apollo.rip/torrents.php?id=4540
MR-105    The Idiots/Jack Saints               Idiots/Jack Saints split                    CD            | no
MR-106    Gluecifer                            Gary O'Kane                                 10"           | no
MR-107    Electric Frankenstein                Listen Up, Baby                             10"           | 
MR-108    Electric Frankenstein / The Hookers  Electric Frankenstein/The Hookers split     CD            | no
MR-109    The Hookers                          The Hookers                                 10"           | no artist
MR-110    Cheap Dates                          Cheap Dates                                 10"           | no artist
MR-111    The Desert Sessions                  #3: Set Coordinates For White Dwarf         10"           | https://apollo.rip/torrents.php?id=135608
MR-112    The Desert Sessions                  #4: Hard Walls And Little Trips             10"           | https://apollo.rip/torrents.php?id=135677
MR-113    The Desert Sessions                  #3 & #4                                     CD            | https://apollo.rip/torrents.php?id=50049
MR-114    Candy Snatchers                      This Is Rock-N-Roll? (test pressing only)   10"           | no
MR-115    Candy Snatchers/Cheap Dates          (split)                                     CD            | no/no artist
MR-116    Hangnail                             One Million Layers B.C.                     10"/CD        | no
MR-117    Gluecifer/The Hellacopters           Respect the Rock America split              CD            | no
MR-118    MISSING                              ---                                         ---           | ---
MR-119    Entombed                             Black Juju                                  CD            | https://apollo.rip/torrents.php?id=211662
MR-120    Ton Ups                              Tune Down                                   CD            | no
MR-121    The Desert Sessions                  #5: Poetry for the Masses                   10"           | https://apollo.rip/torrents.php?id=135720
                                                   (Sea Shed Shit Head by the She Sore)                  |     
MR-122    The Desert Sessions                  #6: Poetry for the Masses                   10"           | https://apollo.rip/torrents.php?id=135850
                                                   (Black Anvil Ego)                                     |   
MR-123    The Desert Sessions                  #5 & #6                                     CD            | https://apollo.rip/torrents.php?id=142236
MR-124    Valis/Kitty Kitty                    Valis/Kitty Kitty split                     CD            | no 
MR-125    Angel Rot                            Unlistenable Hymns of Indulgent Damage      CD            | no artist
MR-126    The Demonics                         Formaldehyde Injection                      CD            | no artist
MR-127    The Fuckemos                         Can Kill You                                CD            | no artist
MR-128    The Fuckemos                         Black Helicopters                           CD            | no artist
MR-129    Soulpreacher                         Sonic Witchcraft                            CD            | no artist
MR-130    Iron Monkey                          We've Learned Nothing                       10"           | no
MR-131    Church of Misery                     Murder Company                              10"           | no
MR-132    Iron Monkey /                        We've Learned Nothing /                     CD            | no
          Church of Misery                         Murder Company                                        |  
MR-133    Nebula                               Sun Creature                                10"/CD        | no
MR-134    Dozer                                In the Tail of a Comet                      CD            | no
MR-135    Dozer                                In the Tail of a Comet                      10"           | no
MR-136    Vodka Collins                        Tokyo - New York                            CD            | no
MR-137    The Melvins                          Interstellar Overdrive                      10"           | no
MR-138    The Demonics                         Demons on Wheels                            CD            | no artist
MR-139    Goatsnake                            Flower of Disease                           CD            | https://apollo.rip/torrents.php?id=71578
MR-140    Cavity                               Supercollider                               CD            | https://apollo.rip/torrents.php?id=72553
MR-141    Queens of the Stone Age/Beaver       The Split CD                                CD/10"        | https://apollo.rip/torrents.php?id=29083
MR-142    The Vectors                          Some Raging Rock-n-Roll II                  10"           | no 
MR-143    Fatso Jetson                         Flames for All                              CD/10"        | https://apollo.rip/torrents.php?id=69746 
MR-144    Lost Goat                            Equator                                     CD            | no
MR-145    Stone Fox                            Totally Burnt                               CD            | https://apollo.rip/torrents.php?id=93041
MR-146    L7                                   Live: Omaha to Osaka                        CD            | https://apollo.rip/torrents.php?id=160252
MR-147    Gaza Strippers                       Laced Candy                                 10"/CD        | https://apollo.rip/torrents.php?id=136444
MR-148    Stisism                              Coping With Society                         CD            | https://apollo.rip/torrents.php?id=93077
MR-149    Turbonegro                           Apocalypse Dudes                            CD            | https://apollo.rip/torrents.php?id=28205
MR-150    River City Rapists                   River City Rapists                          10"           | no artist
MR-151    Queens of the Stone Age              Queens of the Stone Age                     LP            | https://apollo.rip/torrents.php?id=12595
MR-152    The Bulemics                         Blurred Vision & Twisted Thoughts           10"           | no artist
MR-153    The Bulemics/River City Rapists      (split)                                     CD            | no artists
MR-154    Alabama Thunderpussy                 River City Revival                          CD            | https://apollo.rip/torrents.php?id=35793
MR-155    The Hellacopters                     Doggone Your Bad Luck Soul                  10"           | https://apollo.rip/torrents.php?id=212151
MR-156    Greenmachine                         The Earth Beater                            10"/CD        | https://apollo.rip/torrents.php?id=134452
MR-157    Fu Manchu                            Eatin' Dust                                 10"           | represented on MR-163
